N,n_x,n_b,n_trunc,p_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints_per_node,num_words,node_values
0.28526315789473683,2,2,0,"[[0.14271500551110844, 0.8572849944888916], [0.8572849944888916, 0.14271500551110844]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.0016117701190142518,7.492940515158995,8,28.854617128847167,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.5207349366834677, -1.5579767784000493, -0.9389794338168014, -0.6228246001579468, -0.41918714947888935, -0.2674730162575487, -0.1416202454256278, -0.02253258481965004]"
0.30394736842105263,2,2,0,"[[0.1350942775186757, 0.8649057224813244], [0.8649057224813244, 0.1350942775186757]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",5.527870672220048e-06,7.492940515158995,8,29.11356906290166,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.521378225875091, -1.5582895125895164, -0.939195160414758, -0.6229895658932388, -0.4193113401574069, -0.267559922358948, -0.14166955692882122, -0.022541703070542693]"
0.32263157894736844,2,2,0,"[[0.12797549001178177, 0.8720245099882182], [0.8720245099882182, 0.12797549001178177]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.4630234772897155e-06,7.492940515158995,8,29.03232815884985,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.521378789594533, -1.5582905242710032, -0.9391956709301401, -0.6229895292967892, -0.41931174500979584, -0.26756055310220006, -0.1416702301869065, -0.02254200974415018]"
0.34131578947368424,2,2,0,"[[0.12131370446867673, 0.8786862955313233], [0.8786862955313233, 0.12131370446867673]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.479527305885131e-06,7.492940515158995,8,28.936881612055004,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.521378730057909, -1.5582903694535217, -0.9391957752070458, -0.6229897603899583, -0.4193116803477952, -0.267560599164224, -0.1416703457153192, -0.022541775295915813]"
0.36,2,2,0,"[[0.11506967022170828, 0.8849303297782918], [0.8849303297782918, 0.11506967022170828]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.1301727195212052e-06,7.492940515158995,8,28.6884877870325,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.5213788695295163, -1.558290482410379, -0.93919583043797, -0.6229897648618065, -0.4193117188394542, -0.2675604217746649, -0.14167032253139283, -0.022541974601092585]"
0.005,2,4,0,"[[0.19179765125434867, 0.2519708907365089, 0.27811572900457127, 0.27811572900457115], [0.27811572900457115, 0.27811572900457127, 0.2519708907365089, 0.19179765125434867]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5849500338510532,7.492940515158995,8,146.1025155808311,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4726397129937707, -1.461707273144663, -0.8227818483940268, -0.510159985000984, -0.3243115319338941, -0.19822583556714507, -0.10210883540774615, -0.016055458865712493]"
0.02368421052631579,2,4,0,"[[0.13345854271204233, 0.24566118909541362, 0.310440134096272, 0.310440134096272], [0.310440134096272, 0.310440134096272, 0.24566118909541362, 0.13345854271204233]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5318898076927169,7.492940515158995,8,143.66019405587576,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4715287433328794, -1.4645865831185958, -0.8326889524192581, -0.5233215493180758, -0.3367443332867869, -0.20767541304881487, -0.1075545369481221, -0.016950595993745786]"
0.042368421052631576,2,4,0,"[[0.10317654470809079, 0.23711344795010478, 0.32985500367090226, 0.32985500367090215], [0.32985500367090215, 0.32985500367090226, 0.23711344795010478, 0.10317654470809079]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.47886044643608655,7.492940515158995,8,145.74989275285043,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4719261318816423, -1.4699240672439942, -0.8432126913296777, -0.5355002865634919, -0.3477030368046643, -0.21585004405078628, -0.11224367897925552, -0.017720131869396607]"
0.061052631578947365,2,4,0,"[[0.08256698700739817, 0.22802373991846714, 0.34470463653706734, 0.34470463653706734], [0.34470463653706734, 0.34470463653706734, 0.22802373991846714, 0.08256698700739817]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.42784992647150183,7.492940515158995,8,145.9197029650677,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4732660809767157, -1.4761575984781259, -0.8535438324730902, -0.5467040786563329, -0.3575166166913766, -0.22310727990117657, -0.11639522831826998, -0.018399873192405734]"
0.07973684210526316,2,4,0,"[[0.06730607733593807, 0.21881438550351875, 0.35693976858027154, 0.35693976858027165], [0.35693976858027165, 0.35693976858027154, 0.21881438550351875, 0.06730607733593807]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.37947449870462197,7.492940515158995,8,145.28813123097643,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.475207313753706, -1.4827949472274267, -0.8634690825060566, -0.5569826456481378, -0.3663376828961149, -0.22957636628681594, -0.12009235031167098, -0.01900562782444509]"
