N,n_x,n_b,n_trunc,p_obs,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.36,2,4,0,"[[0.005468237657763608, 0.10960143256394467, 0.44246516488914583, 0.4424651648891459], [0.4424651648891459, 0.44246516488914583, 0.10960143256394467, 0.005468237657763608]]",0.9998397547826938,optimal,0.00023120350545656866,6.045032226014882,291,4,72
0.005,2,8,0,"[[0.009875884116445133, 0.04479479527444957, 0.13712697186345396, 0.2519708907365089, 0.27811572900457127, 0.18441709685530688, 0.07342781527502706, 0.020270816874237207], [0.020270816874237207, 0.07342781527502706, 0.18441709685530688, 0.27811572900457127, 0.2519708907365089, 0.13712697186345396, 0.04479479527444957, 0.009875884116445133]]",0.793055938390224,optimal,0.33450546452943797,50.496988735860214,1219,8,124
0.02368421052631579,2,8,0,"[[0.0033139534774409007, 0.024586529046761618, 0.10555806018783981, 0.24566118909541362, 0.310440134096272, 0.21312451214703612, 0.07942464063144572, 0.017890981317790156], [0.017890981317790156, 0.07942464063144572, 0.21312451214703612, 0.310440134096272, 0.24566118909541362, 0.10555806018783981, 0.024586529046761618, 0.0033139534774409007]]",0.8153997412039431,optimal,0.2944205959513203,50.515746454009786,1219,8,124
0.042368421052631576,2,8,0,"[[0.0015005364845763205, 0.01568707117470242, 0.08598893704881207, 0.2371134479501048, 0.3298550036709023, 0.23172819005560905, 0.08212175936375067, 0.016005054251542476], [0.016005054251542476, 0.08212175936375067, 0.23172819005560905, 0.3298550036709023, 0.2371134479501048, 0.08598893704881207, 0.01568707117470242, 0.0015005364845763205]]",0.839306627690498,optimal,0.25273012160953967,51.17130794096738,1219,8,124
0.061052631578947365,2,8,0,"[[0.0007474364032122871, 0.010501852695760039, 0.07131769790842585, 0.22802373991846714, 0.34470463653706734, 0.24678387292498338, 0.08356131631963826, 0.014359447292445704], [0.014359447292445704, 0.08356131631963826, 0.24678387292498338, 0.34470463653706734, 0.22802373991846714, 0.07131769790842585, 0.010501852695760039, 0.0007474364032122871]]",0.8647517557865183,optimal,0.20964205704726105,51.13814952294342,1219,8,124
0.07973684210526316,2,8,0,"[[0.00039116877454575816, 0.00720912742228097, 0.05970578113911135, 0.21881438550351875, 0.35693976858027154, 0.25980568501901313, 0.08424245324668556, 0.01289163031457291], [0.01289163031457291, 0.08424245324668556, 0.25980568501901313, 0.35693976858027154, 0.21881438550351875, 0.05970578113911135, 0.00720912742228097, 0.00039116877454575816]]",0.8888201563164104,optimal,0.1700365609146333,53.30985341803171,1219,8,124
0.09842105263157895,2,8,0,"[[0.0002109822897506386, 0.005025913980572061, 0.050274568505845274, 0.20967311212718281, 0.3674077115483246, 0.27144367020173576, 0.08439255276494334, 0.011571488581645528], [0.011571488581645528, 0.08439255276494334, 0.27144367020173576, 0.3674077115483246, 0.20967311212718281, 0.050274568505845274, 0.005025913980572061, 0.0002109822897506386]]",0.9091837890158502,optimal,0.1373561341312302,56.3328378458973,1219,8,124
0.11710526315789474,2,8,0,"[[0.00011609401930889884, 0.00354050993634214, 0.042499595782626076, 0.20070102842236953, 0.37657138591967665, 0.28204881827308187, 0.0841425427773787, 0.010380024869216131], [0.010380024869216131, 0.0841425427773787, 0.28204881827308187, 0.37657138591967665, 0.20070102842236953, 0.042499595782626076, 0.00354050993634214, 0.00011609401930889884]]",0.9259509326261014,optimal,0.1109923497091599,53.15064380597323,1219,8,124
0.13578947368421052,2,8,0,"[[6.477673485738578e-05, 0.002512592574531791, 0.036028627710760874, 0.1919574685156752, 0.3847182672320874, 0.29183657082052117, 0.08357841377435449, 0.009303282637211696], [0.009303282637211696, 0.08357841377435449, 0.29183657082052117, 0.3847182672320874, 0.1919574685156752, 0.036028627710760874, 0.002512592574531791, 6.477673485738578e-05]]",0.939928731921369,optimal,0.0893767232050629,54.90941376099363,1219,8,124
0.15447368421052632,2,8,0,"[[3.6505971559130934e-05, 0.001792799845769133, 0.030607681445516288, 0.1834783589257007, 0.3920423269057274, 0.3009506763547916, 0.08276162670027021, 0.008330023850665558], [0.008330023850665558, 0.08276162670027021, 0.3009506763547916, 0.3920423269057274, 0.1834783589257007, 0.030607681445516288, 0.001792799845769133, 3.6505971559130934e-05]]",0.9516372866210236,optimal,0.07151629499340083,54.78620440303348,1219,8,124
